source_text_to_be_translated,language,correct_percentage_mcq,correct_percentage_free,average_time_free,average_time_mcq,was_literal,was_fixed,pwld_literal,pwld_fixed,RU,model_gpt_small_avg_surprisal_phrase_ru,model_gpt_small_avg_surprisal_literal,model_gpt_small_avg_surprisal_phrase_l2,model_bert_small_avg_surprisal_phrase_ru,model_bert_small_avg_surprisal_literal,model_bert_small_avg_surprisal_phrase_l2,model_gpt_large_avg_surprisal_phrase_ru,model_gpt_large_avg_surprisal_literal,model_gpt_large_avg_surprisal_phrase_l2,model_bert_large_avg_surprisal_phrase_ru,model_bert_large_avg_surprisal_literal,model_bert_large_avg_surprisal_phrase_l2
a navíc,CS,40.0,0.0,2.5999999999999996,1.1866666666666665,3.143285773261116,3.74142775020859,0.2573099415204678,0.3947368421052631,еще и,1.7553982734680176,2.798433303833008,9.722970485687256,11.105181217193604,13.806836128234863,17.881737232208252,1.4624571800231934,3.288577397664388,9.085315704345703,0.19141197204589844,0.4380696614583333,7.324030876159668
a tu,PL,27.27272727272727,0.0,2.710227272727273,1.4147727272727273,3.442653069672663,3.019013460321411,0.1447368421052631,0.2684210526315789,тут же,1.8811311721801758,3.4332666397094727,5.066850185394287,14.12125301361084,0.0,14.047309637069702,2.325425624847412,3.8822779655456543,5.480474472045898,1.5258240699768066,2.9092321395874023,4.257580757141113
a zasię,PL,82.6086956521739,0.0,2.6183574879227054,1.5410628019323669,3.790856090114932,2.475029513531332,0.3618421052631579,0.3026315789473684,как бы не так,2.9383785724639893,5.654040813446045,12.146066188812256,15.279581546783447,18.80531334877014,26.58466148376465,2.8724026679992676,5.388800144195557,13.103535652160645,0.17427659034729004,7.528614044189453,9.584901809692383
albo i,PL,56.666666666666664,0.0,2.4208333333333334,1.2083333333333333,3.106875636101203,3.400152336386015,0.1894736842105263,0.2421052631578947,а то и,4.818119049072266,10.109149932861328,11.695505142211914,0.0,11.465699911117554,13.21486783027649,3.936218579610189,9.03301477432251,8.918350219726562,0.1324024200439453,8.124469757080078,3.459493637084961
ale przecież,PL,30.0,0.0,2.7625,1.2833333333333334,3.903995690680424,3.404850426359728,0.743421052631579,0.6157894736842104,да ведь,4.2931976318359375,3.35028338432312,12.265557289123535,11.42756199836731,0.0,29.893621683120728,4.403804779052734,3.6914491653442383,13.862639904022217,4.23905086517334,4.2131147384643555,10.24486780166626
ale vždyť,CS,22.58064516129032,0.0,2.6032258064516127,1.096774193548387,4.087555691971658,3.638435947359161,0.3114035087719298,0.4842105263157894,да ведь,5.296137809753418,4.058887004852295,15.75336503982544,12.266987800598145,0.0,27.087989330291748,4.771483421325684,4.617627143859863,12.513210773468018,6.46079683303833,2.637181282043457,10.610050201416016
asi spíš,CS,36.0,4.0,2.8033333333333332,0.9366666666666668,3.3826795986940645,3.753548376664539,0.1217105263157894,0.3263157894736842,все же,3.54177188873291,11.005229949951172,14.24605941772461,9.35925006866455,11.418293952941895,15.408634185791016,3.819802761077881,9.805463790893555,16.109142303466797,0.42625904083251953,12.372756242752075,8.028109073638916
aż do,PL,25.0,0.0,1.7333333333333336,0.7291666666666665,3.459841603677456,2.8185822552069117,0.0197368421052631,0.3195488721804511,вплоть до,5.021676540374756,5.465314865112305,9.014502048492432,10.390235424041748,10.890203952789307,12.607808351516724,4.744663715362549,6.151103973388672,9.18033742904663,1.8691215515136719,2.255706310272217,10.005791664123535
až dosud,CS,37.03703703703704,3.7037037037037033,1.7212475633528266,0.6471734892787524,3.1174229223147902,3.256313295262305,0.0822368421052631,0.2927631578947368,до сих пор,2.0795539220174155,9.421087980270386,10.107823371887207,13.804061571756998,23.6971173286438,17.492414474487305,2.196798324584961,8.813132762908936,12.043344497680664,1.0060240427652996,10.424407005310059,11.074212074279785
až po,CS,72.72727272727273,0.0,1.5681818181818181,0.5522727272727272,3.03054587306483,2.46228878471527,0.0263157894736842,0.3496240601503759,вплоть до,4.6365766525268555,6.9884490966796875,7.555037975311279,8.604470252990723,8.828677654266357,12.3728768825531,4.645166397094727,7.686046600341797,8.08243465423584,0.7836008071899414,8.079020023345947,6.013372421264648
całe życie,PL,72.72727272727273,4.545454545454546,2.129545454545455,0.7159090909090909,3.229570720306709,3.074263364610688,0.1973684210526315,0.2631578947368421,всю жизнь,2.7195630073547363,11.179824829101562,14.497314929962158,13.993400573730469,23.44488763809204,29.989253044128418,1.4721698760986328,11.428134441375732,12.163120746612549,0.1758871078491211,8.058692932128906,12.097511291503906
celý život,CS,81.48148148148148,7.4074074074074066,1.662768031189084,0.6179337231968811,2.8963489175806463,3.4636942202741072,0.0973684210526315,0.3308270676691729,всю жизнь,1.7555160522460938,9.416053771972656,15.54995346069336,15.011051177978516,19.87968111038208,33.661590576171875,1.5545024871826172,9.703181266784668,15.938237190246582,0.17791080474853516,6.545538902282715,10.544736862182617
choć i,PL,83.33333333333334,0.0,1.03,0.5116666666666666,3.628537265582581,3.5808767479995884,0.2330827067669172,0.2061403508771929,хотя и,3.70383358001709,7.4723005294799805,7.244029998779297,0.0,0.0,15.480693817138672,3.6829800605773926,6.866499423980713,6.977695941925049,0.8969526290893555,10.534289360046387,7.623560428619385
chyba że,PL,48.38709677419355,3.225806451612903,4.596774193548387,2.8548387096774195,3.2716141376447374,3.4717642565112645,0.1809210526315789,0.2532894736842105,разве что,3.82625150680542,8.638860702514648,11.676841259002686,13.604851245880127,13.928737878799438,21.264914989471436,3.717254161834717,8.841045618057251,11.526625633239746,0.5592103004455566,7.822395324707031,11.81096601486206
co nejrychleji,CS,74.19354838709677,0.0,5.602150537634408,3.806451612903226,3.0651557794256794,3.7809663027206826,0.228744939271255,0.3618421052631579,как только,3.294381618499756,10.04854154586792,23.2118501663208,12.337884426116943,23.162965297698975,30.896267414093018,2.6484575271606445,11.095428466796875,21.16934633255005,0.0056781768798828125,18.7024884223938,24.133842945098877
co tam,PL,8.695652173913043,0.0,1.8561872909698993,0.7926421404682273,3.1820900622630024,3.0143164555621014,0.1184210526315789,0.2593984962406015,да ладно,2.8190813064575195,4.569128513336182,12.369937419891357,14.949845314025879,17.416754722595215,17.805078506469727,2.6617279052734375,5.034576892852783,11.11706256866455,1.5274653434753418,3.633559226989746,6.218230247497559
