user_id,prolific_id_email,age,gender,first_lang,other_langs,login_time,question_number,source_language,target_language,source_text,source_text_to_be_translated,correct_translation,wrong_mcq_translation,user_free_translation,user_free_translation_time_taken,user_mcq_translation,user_mcq_translation_time_taken,clean_response,is_correct
729302f8-6518-4259-9199-96e8819510f7,610722268e5e431a1ca2ee27,31,female,RU,RU,2024-02-05 17:03:32.150352+00:00,3,BE,RU,"Старшыня беларускага фонду культуры Уладзімір Гілеп прэзентаваў у Ялце новае арыгінальнае выданне твораў Максіма Багдановіча, толькі што выпушчанае ў свет фондам культуры.",толькі што,только что,толькі што,только что ,31,только что,3,только что,1
729302f8-6518-4259-9199-96e8819510f7,610722268e5e431a1ca2ee27,31,female,RU,RU,2024-02-05 17:03:32.150352+00:00,4,BE,RU,"— У Свярдлоўску сыйшла, — сказаў я першае, што прыйшло ў галаву, і тут жа падумаў: “А, можа, і праўда: у Свярдлоўску сыйшла?..",тут жа,тут же,тут как,тут же,27,тут же,3,тут же,1
729302f8-6518-4259-9199-96e8819510f7,610722268e5e431a1ca2ee27,31,female,RU,RU,2024-02-05 17:03:32.150352+00:00,5,BE,RU,Да гэтай пары яны мне любоўна кажуць: “Якое гладкае ў цябе і мускулістае цела…”,да гэтай пары,до сих пор,да гэтай пары,,8,до сих пор,2,,0
729302f8-6518-4259-9199-96e8819510f7,610722268e5e431a1ca2ee27,31,female,RU,RU,2024-02-05 17:03:32.150352+00:00,1,BE,RU,Не раз відаць яны пра гэта гаварылі…,не раз,не раз,не раз,,8,не раз,11,,0
729302f8-6518-4259-9199-96e8819510f7,610722268e5e431a1ca2ee27,31,female,RU,RU,2024-02-05 17:03:32.150352+00:00,2,BE,RU,"І колькі б я не зарабляў, хоць мільён, хоць сто мільёнаў, табе ўсе роўна будзе мала.",ўсе роўна,все равно,все равное,,11,все равно,3,,0
729302f8-6518-4259-9199-96e8819510f7,610722268e5e431a1ca2ee27,31,female,RU,RU,2024-02-05 17:03:32.150352+00:00,6,BE,RU,"Ступак нешта мармытаў у адказ, што мала разумее сам.",у адказ,в ответ,у адказ,,8,в ответ,3,,0
729302f8-6518-4259-9199-96e8819510f7,610722268e5e431a1ca2ee27,31,female,RU,RU,2024-02-05 17:03:32.150352+00:00,7,BE,RU,"Капітан між тым варухнуў упартым падбародкам, паказваючы кудысьці ўбок.",ўбок,в сторону,ўбок,,8,в сторону,3,,0
729302f8-6518-4259-9199-96e8819510f7,610722268e5e431a1ca2ee27,31,female,RU,RU,2024-02-05 17:03:32.150352+00:00,8,BE,RU,"Такім чынам, шматлікія версіі сышліся ў непрыемнай знаходцы шэрагу містыфікацый, якія больш за паўстагоддзя нацягвалі НА СЯБЕ маску арыгінальных тэкстаў.",на сябе,на себя,на себе,,12,на себя,3,,0
729302f8-6518-4259-9199-96e8819510f7,610722268e5e431a1ca2ee27,31,female,RU,RU,2024-02-05 17:03:32.150352+00:00,9,BE,RU,"Зрэшты, асабліва нікога і не шукалі, адразу населі на гэтых чатырох пуцейцаў,  хоць,  па сутнасці,  ніякіх канкрэтных супраць іх улік і не мелі.",па сутнасці,по существу,па сутнасці,,12,по сущности,3,,0
5b1facb6-dd9a-4654-996d-8adbb1aadc79,614f11b6fe832a304632a860,55,female,RU,UK,2024-02-05 17:07:11.975698+00:00,25,PL,RU,"Odróżnia nas... tak..., więc jednak",więc jednak,все же,więc jednak,одинаково,16,все же,10,одинаково,0
729302f8-6518-4259-9199-96e8819510f7,610722268e5e431a1ca2ee27,31,female,RU,RU,2024-02-05 17:03:32.150352+00:00,10,BE,RU,"Хаця, ты ведаеш, мне часам здаецца, што я ўсе жыцце быў мужыком.",ўсе жыцце,всю жизнь,целая жизнь,,5,всю жизнь,10,,0
