audio_number,sentence,surprisal_value
01,не раз відаць яны пра гэта гаварылі…,13.74411678314209
02,"і колькі б я не зарабляў, хоць мільён, хоць сто мільёнаў, табе ўсе роўна будзе мала.",13.227083206176758
03,"старшыня беларускага фонду культуры уладзімір гілеп прэзентаваў у ялце новае арыгінальнае выданне твораў максіма багдановіча, толькі што выпушчанае ў свет фондам культуры.",13.125618934631348
04,"— у свярдлоўску сыйшла, — сказаў я першае, што прыйшло ў галаву, і тут жа падумаў: “а, можа, і праўда: у свярдлоўску сыйшла?..",13.470272064208984
05,да гэтай пары яны мне любоўна кажуць: “якое гладкае ў цябе і мускулістае цела…”,14.36377239227295
06,"ступак нешта мармытаў у адказ, што мала разумее сам.",13.913113594055176
07,"капітан між тым варухнуў упартым падбародкам, паказваючы кудысьці ўбок.",13.317886352539062
08,"такім чынам, шматлікія версіі сышліся ў непрыемнай знаходцы шэрагу містыфікацый, якія больш за паўстагоддзя нацягвалі на сябе маску арыгінальных тэкстаў.",13.044703483581543
09,"зрэшты, асабліва нікога і не шукалі, адразу населі на гэтых чатырох пуцейцаў,  хоць,  па сутнасці,  ніякіх канкрэтных супраць іх улік і не мелі.",12.427373886108398
10,"хаця, ты ведаеш, мне часам здаецца, што я ўсе жыцце быў мужыком.",14.242498397827148
11,сікхізм уяўляе сабой рэлігію што паходзіць з індыйскага субкантынента. яна зявілася ў 15 стагоддзі ў рэгіене пенджаб у выніку ўзнікнення ў індуізме розных сектанцкіх груп.,13.663339614868164
12,"ведаеш, наташанька, я самая шчаслівая жанчына на свеце, калі ў мяне есць такі муж.",13.345455169677734
13,"хіба толькі хітрыць будзе, паказваючы, нібы яму тужліва",13.364434242248535
14,"шмат млекакормячых з'явілася на галапагосах з моманту прыбыцця туды чалавека, у тым ліку коз, коней, кароў, катоў, сабак і пацукоў.",13.678518295288086
15,"можаце быць упэўнены, што, як толькі вы трапіце на прыстань ці прычал, усе стане відавочна.",13.431245803833008
16,"яна не верыць мне і думае, што яе пакараюць не так, як мяне, а то і апраўдаюць: яна ж баранілася.",13.298807144165039
17,"згодна з паведамленнем ўладаў штата агая, супраць лекара дзіцячай бальніцы горада пітсбурга, штат пенсільванія, будуць выстаўлены абвінавачванні ў забойстве пры абцяжваючых абставінах, пасля таго, як у сераду яе маці знайшлі мертвай у яе машыне.",12.295758247375488
18,"ды й думаў я не так, як крабіч, а наадварот: чым больш нармальных людзей ва ўладзе, тым лепш — яны павінны там быць.",13.331989288330078
19,тыгр здольны лазіць (але не так добра).,13.388374328613281
20,"прачнуўшыся ад таго, што мяне тармасіла лі-лі, я не мог зразумець, як яна тут, на трыбуне, мяне знайшла.",13.31397819519043
21,"ах, радзівон парфіравіч, ды зусім жа ён немаўля, яшчэ і сіротка!",13.301876068115234
22,у асобных краінах ці тыпах крам есць як мінімум адзін рэстаран з даступнымі цэнамі і без аніякіх фармальных патрабаванняў.,13.177456855773926
23,"пакуль яна была маленькая, мне таксама здавалася, што мы падобныя, тым больш пры такім знешнім падабенстве…",12.664669036865234
24,"пройдзе яшчэ шмат гадоў, перш чым будуць пабудаваны прыгодныя для эксплуатацыі рэактары тэрмаядзернага сінтэзу.",12.49449348449707
25,"а можа, гэта быў воўк-людаед, якіх, па чутках, шмат развялося ў навакольных пушчах.",12.894747734069824
26,"такім чынам, паводле экспертнай ацэнкі, інфляцыя з пачатку года склала 4, 7%.",13.475996971130371
27,"спадарыня стэйр, якая нібыта нарадзілася ў люйсьвіле, штат кентукі, ды адышла ў іншы свет ў 1988 годзе ва ўзросьце 86 гадоў увогуле ніколі не існавала, ва ўсякім разе, з гэтым імем альбо літаратурным псеўданімам.",12.150460243225098
28,"у беларусi ""кошт"" гадзiны працы медыцынскiх работнiкаў складае ўсяго 4404 рублi, а гэта, мiж iншым, толькi 59, 7 працэнта ад аплаты за гадзiну працы ў прамысловасцi.",12.308382034301758
29,"можна сказаць, яму проста пашанцавала, абы толькі ўдалося.",13.803486824035645
30,"у сутнасці, ніякага асаблівага працы або небяспекі ў паляванні няма.",12.925394058227539
31,"як вядома, пчолы патрэбны дзеля таго, каб рабіць мед.",12.968696594238281
32,"на яго думку, у нас на падобныя тэмы пішуць нецікава і мала.",13.674481391906738
33,"адным словам, пад мінскам есць такая спецыяльная бальніца, дзе раней паміралі вось такія асуджаныя…",13.722450256347656
34,"што называецца, не ў службу, а ў дружбу.",14.189449310302734
