audio_number,sentence,surprisal_value
01,konec konců tam skutečně byl a ne jednou.,11.427891731262207
02,který konkrétně? to je přece úplně jedno.,11.001906394958496
03,"tam, kde jsem před okamžikem stál, zasvištělo ostří ostroplochého meče.",12.162237167358398
04,"v tom okamžiku jsem pocítil, jak praská naše podlaha.",12.501872062683105
05,"až dosud jsme se mohli shodnout na tom, že lepší než špatná politika je žádná politika a nulové vztahy.",9.481829643249512
06,byla by uslyšela v odpověď jen další strofu písně.,12.06689167022705
07,lans ukázal na stranu.,14.420635223388672
08,velké západní nadnárodní firmy a korporace na sebe vzaly politickou roli.,10.509318351745605
09,v jádru byl stejný jako ona.,10.945525169372559
10,"v barguzinském národním parku jsme se zase seznámili s paní irinou ivanovnou, která ochraně přírody zasvětila prakticky celý život.",11.048749923706055
11,artemidin chrám v efesu byl zničen 21. července 356 př.n.l. v důsledku žhářství spáchaného herostratem.,10.163707733154297
12,"neexistuje na světě hrdina, jenž by nebyl někomu ukraden, a není země, která by původně nebyla někoho jiného.",10.486851692199707
13,kdo tohle ví? řekl nakladatel. snad jen vítr.,11.254175186157227
14,"chlapec ukryl více než 600 poštovních dokumentů, z toho 429 novoročních přání,",11.299333572387695
15,co nejrychleji přijdeme.,11.305289268493652
16,"ještě před půl stoletím bylo na takové dobývání třeba věnovat mnoho času (i týdny, dokonce i měsíce!).",9.32845687866211
17,"zaslechl vrzání pantů asi přes čtyři střechy nedlouho potom, co jeho přítel odešel.",11.873639106750488
18,"čím více a rychleji se nato bude rozšiřovat, tím rychleji zmizí v archivu",11.344236373901367
19,"tygr dokáže šplhat (i když ne dobře), plavat, skákat na velké vzdálenosti.",11.579642295837402
20,"já, musím se přiznat, jsem ji nechala u chatfieldů také proto, že bych s ní zrovna teď nerada zůstala o samotě.",12.080818176269531
21,"máš pravdu, je nešťastná, ale vždyť to je jen knížka.",11.937376976013184
22,"jistě ne méně než pět set měsíčně, ne-li plných šest set.",9.579551696777344
23,"a už vůbec není jisté, zdali případné změny režimů budou k lepšímu.",11.054790496826172
24,"potrvá mnoho let, než dojde ke stavbě použitelných fúzních reaktorů.",12.949140548706055
25,"povídalo se, že předseda byl bílý jako stěna, opile vrávoral a něco blekotal. ",11.1635103225708
26,tímto způsobem se tam pro rusy otevírá obrovský obchodní potenciál.,9.370054244995117
27,v každém případě odneste kotě i misku.,11.214681625366211
28,"mezi jiným jsem pozoroval, že dr kramář bude mít potíže.",8.574337005615234
29,"lze říci, že trasu letu lze měnit pouze z důvodu zajištění bezpečnosti a ochrany zdraví.",10.57414722442627
30,"jediné, co udělám ― jediné, co si troufnu udělat ― bude v podstatě taková hloupost…",10.228900909423828
31,"jak je známo, bzučet mohou jedině včely.",11.279251098632812
32,podle něj je tohle jeden z hlavních důvodů.,13.82588005065918
33,"krátce řečeno, jako jeho stájník. a také byste ošetřoval psy.",10.034235000610352
34,"posud nepozbyla své krásy, ani zdraví i byla, jak se říká krev a mléko.",12.497291564941406
35,"nejdříve většina médií tvrdila, že za vraždou podle všeho stojí mafie.",10.701619148254395
36,"lyšíš? páni jdou. proboha, heleno!",12.440624237060547
37,ale asi spíš v tom lepším: na bezpráví a násilí jsem citlivější.,10.401287078857422
38,ovšem jednu z nejdivnějších – a navíc patřičně zpolitizovanou.,11.460095405578613
39,"a cos ty myslil? prášek, či co?",12.675063133239746
40,"nejen že nemohl vstát, ale připadalo mu, že nesmí ani otevřít oči.",10.09177017211914
41,některé sceny přečetli jsme několikrát za sebou; celý román jsme přečetli skoro dvakrát po sobě a po druhé líbil se nám skoro ještě víc než po prvé.,11.638075828552246
42,nic takového zjevně není v plánu.,12.692364692687988
43,"do prčic, jaká loterie?",11.652521133422852
44,není to nic jiného než klamavá reklama.,11.926287651062012
45,"stál kousek od mostu, co dělí tajland od kambodže.",10.897612571716309
46,"přesně tak, to je výborná rada. ",12.717680931091309
47,jak by ne! a oni měli určitě víc možností se bránit!,8.385419845581055
48,mám všeho všudy šestatřicet krejcarů.,10.108417510986328
49,navzdory tomu o ně mají zákazníci nebývalý zájem.,12.317813873291016
50,vagony metroplus jsou vždy zařazeny na konec vlaku směrem ke kapskému městu.,11.6768798828125
51,útulný apartmán v blízkosti mumlavských vodopádů.,11.929838180541992
52,já jsem byla opět v jiném stavu a skoro celé těhotenství až po porod nejmladší dcerky jsem prožila ve strachu.,10.291385650634766
53,"má právo zničit všechny překážky ve formě institucí a tradic, jež omezují lidskou svobodu výběru.",12.696283340454102
54,to vše za účelem násilného uchopení moci.,11.705045700073242
55,"najednou v jeho nebohé hlavě cvakla nějaká záklopka, načež se jal vyzývavě vtipkovat na účet tělesných a duševních vlastností dívky.",10.208906173706055
56,"podepsala se roku 1992, ale v platnost vešla v roce 2002.",11.134610176086426
57,"nejdřív ty nové drželi v karanténě v prvním patře, pak je přepravili do cel nedaleko mé místnosti.",10.130912780761719
58,"na útraty vojenského eráru, to se rozumí.",12.942495346069336
59,"po skončení práce četla, co za den napsali, á viděla, jak se chmuří, pozorně naslouchaje.",10.655502319335938
60,"pokud by však nesouhlasili, musejí připustit, že o dětech rozhodují rodiče, ale nikoli podle své libosti, nýbrž jedině a výhradně s ohledem na jejich zájem.",9.058799743652344
