audio_number,sentence,surprisal_value
01,"cesarz rzymski niejednokrotnie pokazał, że przyjacielem korony polskiej nie jest.",12.175275802612305
02,"zamieszanie potęgował fakt, że niektórzy zachowywali neutralność, to znaczy było im wszystko jedno, kogo napadają i grabią, napadali i grabili wszystkich.",12.587239265441895
03,"a reynevan zacytował przed chwilą autorytety, które trochę jakby przeczą temu, co zeznajesz.",12.196048736572266
04,a tu zdeponowane przez ottona beessa sto guldenów.,11.379570960998535
05,"tak, jak to robiła nadal.",13.91242504119873
06,"zwyczaj nakazywał w odpowiedzi na takie niedomówienie zrobić mądrą minę, westchnąć i znacząco pokiwać głową.",10.493850708007812
07,"- nastraszyli mnie - powiedziała, patrząc w bok.",13.010479927062988
08,"wiedząc o tym, niektórzy donosili więc sami na siebie.",10.631258010864258
09,"rewolucja z chwilą upadku powstania warszawskiego w rzeczywistości już się dokonała, droga do niej była otwarta.",11.139785766601562
10,"reynevan tymczasem uciekał, a szło mu to tak, jak gdyby całe życie nie robił nic innego, tylko galopował w więzach.",9.36745548248291
11,"kości zostają rzucone, w rezultacie czego wydarza się to, co jakoby - nieuniknione i nieuchronne.",10.571242332458496
12,"rzecz w tym, że wszystko, absolutnie wszystko na świecie, ma trzy aury.",12.237515449523926
13,chyba że książę niedomaga.,10.774202346801758
14,"turystyka przyrodnicza przyciąga osoby lubiące spędzać czas na łonie natury, podziwiać krajobrazy, w tym dziką roślinność i zwierzęta.",11.546268463134766
15,"jak tylko dolatywał mnie zapach spalonego węgla, od razu stawał mi przed oczyma początek mojej służby.",11.527480125427246
16,trądem nas zarazić gotów! albo i czym gorszym!,12.03482437133789
17,"mniej więcej godzinę od momentu, kiedy zamilkły ostatnie strzały, wolf powiedział, że pojedzie na zwiad i pojechał sam.",12.10257339477539
18,"a im większy sekret, tym większa nagroda.",11.54622745513916
19,"mówię ci to, byś znał moje zamiary, choć i tak z pewnością domyśliłeś się ich po pytaniach, które stawiałem schillingowi.",12.119481086730957
20,"pomiędzy nią a resztą pracowników nastąpiła krótka przerwa w czasie, wynikła z tego, że wszyscy najpierw podążyli w kierunku źródła hałasu.",10.560190200805664
21,ale przecież on tu diabli wiedzą jak narozrabia!,11.317957878112793
22,"i gdyby chociaż los zesłał mu skruchę, gorącą skruchę, która łamie serce, spędza sen z powiek, taką skruchę, której straszliwe męczarnie nasuwają myśl o pętli i topieli!",11.213041305541992
23,ani tym bardziej na trzymających stronę albrechta katolików.,12.1693696975708
24,"zanim się połapią, że to była rozgrywka.",12.080021858215332
