source_text_to_be_translated,user_free_translation_time_taken,user_mcq_translation_time_taken,accuracy_mcq,accuracy_free
а то і,12.5,4.055555555555555,100.0,55.55555555555556
ад таго што,11.11111111111111,7.277777777777778,94.44444444444444,72.22222222222221
адным словам,11.458333333333334,5.375,83.33333333333333,79.16666666666666
але не,10.277777777777779,5.222222222222222,94.44444444444444,16.666666666666664
амаль што,11.5,5.75,75.0,16.666666666666664
да гэтай пары,11.96551724137931,5.241379310344827,31.03448275862069,68.96551724137932
дзеля бога,10.916666666666666,4.666666666666667,91.66666666666667,4.166666666666666
ды годзе,9.583333333333334,5.083333333333333,75.0,0.0
ды зусім,16.666666666666668,6.111111111111111,38.888888888888886,0.0
з боку,17.0,5.238095238095238,61.904761904761905,57.142857142857146
з нагоды,24.05,5.35,90.0,15.0
з улікам,21.894736842105264,5.2105263157894735,89.47368421052632,31.57894736842105
за кошт,12.736842105263158,4.157894736842105,94.73684210526316,36.84210526315789
ледзьве не,12.833333333333334,4.5,58.333333333333336,16.666666666666664
мiж iншым,19.541666666666668,7.416666666666667,100.0,45.833333333333336
можна сказаць,11.416666666666666,4.083333333333333,95.83333333333333,79.16666666666666
мяркуючы па ўсім,17.75,6.333333333333333,79.16666666666667,20.833333333333336
на свеце,9.689655172413794,3.9655172413793105,93.10344827586206,79.3103448275862
на сябе,12.96551724137931,5.068965517241379,68.96551724137932,51.724137931034484
на яго думку,15.708333333333334,5.125,95.83333333333333,41.66666666666667
не раз,14.533333333333333,5.8,96.66666666666667,68.08510638297872
не тое што,10.416666666666666,4.583333333333333,83.33333333333333,50.0
недалека ад,14.1,4.6,95.0,75.0
нягледзячы на,18.095238095238095,6.095238095238095,80.95238095238095,66.66666666666666
няйначай як,11.5,4.333333333333333,91.66666666666667,25.0
нічога падобнага,9.333333333333334,3.5,75.0,66.66666666666666
па заканчэнні,15.210526315789474,6.157894736842105,68.42105263157895,78.94736842105263
па сутнасці,15.793103448275861,6.379310344827586,65.51724137931035,62.06896551724138
па чутках,21.76,6.72,92.0,24.0
перш чым,15.941176470588236,3.8823529411764706,94.11764705882354,47.05882352941176
побач з,19.952380952380953,6.0,90.47619047619048,14.285714285714286
такім чынам,14.44,5.0,88.0,52.0
толькі што,16.103448275862068,4.241379310344827,100.0,82.75862068965517
тут жа,11.724137931034482,3.7241379310344827,100.0,82.75862068965517
тым больш,12.705882352941176,5.764705882352941,58.8235294117647,35.294117647058826
у адказ,11.862068965517242,4.931034482758621,41.37931034482759,10.344827586206897
у выглядзе,20.238095238095237,4.9523809523809526,95.23809523809524,28.571428571428573
у выніку,23.551724137931036,5.241379310344827,89.65517241379311,17.24137931034483
у сутнасці,16.291666666666668,4.5,91.66666666666667,33.33333333333333
у тым ліку,18.555555555555557,5.777777777777778,94.44444444444444,61.111111111111114
усе ж,15.0,4.583333333333333,75.0,41.66666666666667
хіба толькі,19.72222222222222,6.166666666666667,77.77777777777777,16.666666666666664
ці што,11.583333333333334,5.166666666666667,83.33333333333333,25.0
чым больш,15.166666666666666,5.055555555555555,94.44444444444444,72.22222222222221
што называецца,11.375,5.791666666666667,91.66666666666667,66.66666666666666
як бы не так,7.666666666666667,4.833333333333333,91.66666666666667,50.0
як вядома,13.375,4.75,83.33333333333333,50.0
як мінімум,10.944444444444445,6.777777777777778,66.66666666666667,83.33333333333334
як толькі,10.555555555555555,3.7777777777777777,100.0,77.77777777777779
яшчэ і,11.166666666666666,4.5,58.333333333333336,41.66666666666667
іменна што,9.0,3.75,83.33333333333333,75.0
ў канцы,19.19047619047619,4.333333333333333,95.23809523809524,76.19047619047619
ў сілу,12.95,4.5,90.0,70.0
ўбок,10.96551724137931,4.689655172413793,51.724137931034484,65.51724137931035
ўсе жыцце,13.448275862068966,4.206896551724138,100.0,34.48275862068966
ўсе роўна,15.793103448275861,4.586206896551724,93.10344827586206,72.41379310344827
ўсяго толькi,9.25,4.583333333333333,58.333333333333336,66.66666666666666
