source_text_to_be_translated,user_free_translation_time_taken,user_mcq_translation_time_taken,accuracy_mcq,accuracy_free
а то і,14.3,2.8,100.0,55.55555555555556
ад таго што,11.23076923076923,7.3076923076923075,100.0,72.22222222222221
адным словам,12.789473684210526,5.315789473684211,89.47368421052632,79.16666666666666
але не,11.0,6.0,100.0,16.666666666666664
амаль што,8.0,3.0,100.0,16.666666666666664
да гэтай пары,12.95,4.9,30.0,68.96551724137932
дзеля бога,8.0,4.0,100.0,4.166666666666666
з боку,13.666666666666666,3.75,66.66666666666667,57.14285714285714
з нагоды,24.0,3.0,100.0,15.0
з улікам,17.666666666666668,3.8333333333333335,100.0,31.57894736842105
за кошт,11.428571428571429,3.4285714285714284,100.0,36.84210526315788
ледзьве не,8.0,3.5,100.0,16.666666666666664
мiж iншым,17.363636363636363,5.818181818181818,100.0,45.83333333333333
можна сказаць,12.947368421052632,3.789473684210526,100.0,79.16666666666666
мяркуючы па ўсім,17.2,3.2,100.0,20.833333333333336
на свеце,10.217391304347826,3.4782608695652173,95.65217391304348,79.3103448275862
на сябе,14.666666666666666,4.733333333333333,93.33333333333333,51.724137931034484
на яго думку,15.7,3.6,100.0,41.66666666666667
не раз,12.25,4.75,100.0,68.08510638297872
не тое што,10.0,4.5,100.0,50.0
недалека ад,12.933333333333334,4.866666666666666,100.0,75.0
нягледзячы на,19.214285714285715,4.714285714285714,92.85714285714286,66.66666666666666
няйначай як,10.333333333333334,3.0,100.0,25.0
нічога падобнага,9.375,3.0,100.0,66.66666666666666
па заканчэнні,14.933333333333334,4.8,73.33333333333333,78.94736842105263
па сутнасці,18.5,4.944444444444445,72.22222222222223,62.06896551724138
па чутках,23.333333333333332,3.1666666666666665,100.0,24.0
перш чым,20.875,3.5,100.0,47.05882352941176
побач з,13.666666666666666,3.3333333333333335,100.0,14.285714285714285
такім чынам,12.846153846153847,5.076923076923077,100.0,52.0
толькі што,14.833333333333334,2.9166666666666665,100.0,82.75862068965517
тут жа,11.625,2.9583333333333335,100.0,82.75862068965517
тым больш,15.333333333333334,6.0,83.33333333333333,35.294117647058826
у адказ,15.0,3.0,100.0,10.344827586206897
у выглядзе,18.666666666666668,3.0,100.0,28.57142857142857
у выніку,33.4,3.4,100.0,17.24137931034483
у сутнасці,18.875,3.875,100.0,33.33333333333333
у тым ліку,18.0,3.727272727272727,100.0,61.111111111111114
усе ж,10.2,3.0,100.0,41.66666666666667
хіба толькі,11.666666666666666,4.666666666666667,66.66666666666667,16.666666666666664
ці што,10.0,3.6666666666666665,100.0,25.0
чым больш,17.46153846153846,5.3076923076923075,100.0,72.22222222222221
што называецца,12.4375,5.3125,93.75,66.66666666666666
як бы не так,7.5,3.8333333333333335,100.0,50.0
як вядома,13.166666666666666,3.6666666666666665,100.0,50.0
як мінімум,11.933333333333334,6.866666666666666,66.66666666666667,83.33333333333334
як толькі,10.642857142857142,3.2857142857142856,100.0,77.77777777777779
яшчэ і,11.8,3.2,60.0,41.66666666666667
іменна што,10.555555555555555,3.7777777777777777,100.0,75.0
ў канцы,22.5,3.8125,100.0,76.19047619047619
ў сілу,11.928571428571429,3.5714285714285716,100.0,70.0
ўбок,12.578947368421053,3.6315789473684212,57.89473684210526,65.51724137931035
ўсе жыцце,16.5,2.4,100.0,34.48275862068966
ўсе роўна,16.80952380952381,3.238095238095238,95.23809523809524,72.41379310344827
ўсяго толькi,9.125,3.875,62.5,66.66666666666666
