source_text_to_be_translated,user_free_translation_time_taken,user_mcq_translation_time_taken,accuracy_mcq,accuracy_free
без друго,23.391304347826086,6.478260869565218,34.78260869565217,0.0
в края на,16.75,6.0625,62.5,6.25
в отговор,13.764705882352942,5.117647058823529,100.0,17.647058823529413
в резултат,13.88888888888889,3.8333333333333335,94.44444444444444,83.33333333333334
в същност,10.12,3.72,80.0,72.0
в това число,22.375,6.25,83.33333333333333,50.0
все едно,14.764705882352942,5.647058823529412,82.3529411764706,29.411764705882355
все пак,26.217391304347824,8.434782608695652,82.6086956521739,4.3478260869565215
встрани,11.294117647058824,6.176470588235294,64.70588235294117,17.647058823529413
във вид на,16.25,5.875,68.75,12.5
във всеки случай,11.115384615384615,6.538461538461538,69.23076923076923,26.923076923076923
въпреки че,19.8125,7.0,56.25,37.5
дето се вика,14.2,5.84,72.0,0.0
добре де,17.217391304347824,6.304347826086956,8.695652173913043,0.0
досега,16.11764705882353,4.9411764705882355,82.3529411764706,47.05882352941176
едва ли не,16.73913043478261,7.739130434782608,73.91304347826087,56.52173913043478
за бога,10.84,4.88,76.0,0.0
за сметка на,20.125,6.1875,68.75,18.75
именно че,19.52173913043478,5.391304347826087,86.95652173913044,30.434782608695656
как ли пък не,16.217391304347824,6.391304347826087,82.6086956521739,21.73913043478261
както е известно,11.64,4.92,72.0,72.0
камо ли,19.0,8.347826086956522,52.17391304347826,0.0
колкото повече,24.333333333333332,7.541666666666667,91.66666666666667,4.166666666666666
ли е,13.391304347826088,6.695652173913044,30.434782608695652,0.0
макар и,26.25,6.5,79.16666666666667,8.333333333333332
между другото,12.576923076923077,4.576923076923077,69.23076923076923,46.15384615384615
може да се каже,16.153846153846153,5.576923076923077,73.07692307692308,11.538461538461538
на света,11.11111111111111,4.333333333333333,72.22222222222223,77.77777777777779
на себе си,13.764705882352942,5.647058823529412,70.58823529411765,5.88235294117647
най-малкото,16.90909090909091,5.090909090909091,36.36363636363637,4.545454545454546
не веднъж,22.235294117647058,7.411764705882353,52.94117647058823,0.0
недалече от,12.0625,4.9375,81.25,62.5
нищо подобно,19.652173913043477,5.6521739130434785,95.65217391304348,65.21739130434783
освен да,22.833333333333332,9.083333333333334,75.0,0.0
от страна на,11.75,5.25,75.0,25.0
от това че,14.208333333333334,5.416666666666667,95.83333333333333,37.5
още и,15.91304347826087,5.826086956521739,86.95652173913044,43.47826086956522
още начаса,18.38888888888889,5.888888888888889,66.66666666666667,0.0
още повече,14.818181818181818,6.5,90.9090909090909,4.545454545454546
още щом,17.208333333333332,7.291666666666667,70.83333333333333,0.0
по повод на,11.4375,4.375,87.5,37.5
по силата на,14.3125,4.1875,68.75,18.75
по същество,18.352941176470587,4.352941176470588,82.3529411764706,88.23529411764706
по такъв начин,16.692307692307693,5.730769230769231,69.23076923076923,3.8461538461538463
почти като,18.391304347826086,5.608695652173913,34.78260869565217,52.17391304347826
преди да,17.571428571428573,4.857142857142857,80.95238095238095,9.523809523809524
редом с,16.5,4.125,93.75,75.0
с една дума,15.84,6.6,60.0,4.0
с оглед на,13.0,4.5,43.75,31.25
след като,29.916666666666668,6.041666666666667,75.0,4.166666666666666
след свършването,18.875,6.0625,31.25,12.5
според слухове,25.5,5.884615384615385,46.15384615384615,7.6923076923076925
съдейки по всичко,17.92,5.44,80.0,12.0
та нали,16.333333333333332,5.25,62.5,0.0
току-що,17.41176470588235,5.352941176470588,100.0,58.82352941176471
цял живот,12.0,4.388888888888889,77.77777777777777,44.44444444444444
чак до,14.875,5.375,87.5,6.25
че даже и,22.166666666666668,6.833333333333333,8.333333333333334,0.0
