source_text_to_be_translated,user_free_translation_time_taken,user_mcq_translation_time_taken,accuracy_mcq,accuracy_free
a navíc,12.333333333333334,6.0,37.5,12.5
ale vždyť,12.733333333333333,5.2,6.666666666666667,20.0
asi spíš,18.375,5.583333333333333,41.666666666666664,4.166666666666666
až dosud,18.526315789473685,7.2105263157894735,57.89473684210526,15.789473684210526
až po,19.423076923076923,4.8076923076923075,61.53846153846154,38.46153846153847
celý život,21.38888888888889,5.555555555555555,77.77777777777777,27.77777777777778
co nejrychleji,15.2,6.666666666666667,73.33333333333333,0.0
do prčic,12.208333333333334,6.083333333333333,50.0,0.0
dokonce i,15.333333333333334,5.466666666666667,13.333333333333334,0.0
i když,13.2,5.333333333333333,46.666666666666664,6.666666666666667
jak by ne,13.25,7.0,70.83333333333333,37.5
jak je známo,11.263157894736842,4.315789473684211,89.47368421052632,68.42105263157895
jak se říká,13.052631578947368,6.157894736842105,63.1578947368421,0.0
kousek od,14.583333333333334,5.666666666666667,41.666666666666664,0.0
krátce řečeno,11.631578947368421,4.631578947368421,84.21052631578948,52.63157894736842
lze říci,17.68421052631579,7.2105263157894735,84.21052631578948,5.263157894736842
mezi jiným,11.68421052631579,6.2631578947368425,73.6842105263158,21.052631578947366
na konec,18.14814814814815,6.185185185185185,70.37037037037037,29.629629629629626
na sebe,12.0,4.7368421052631575,68.42105263157895,26.31578947368421
na stranu,9.6,5.8,40.0,0.0
na světě,11.722222222222221,5.111111111111111,88.88888888888889,66.66666666666666
na útraty,14.23076923076923,6.8076923076923075,53.84615384615385,0.0
na účet,19.23076923076923,4.961538461538462,46.15384615384615,30.76923076923077
navzdory tomu,22.296296296296298,6.814814814814815,85.18518518518519,48.148148148148145
ne jednou,15.631578947368421,6.7368421052631575,52.63157894736842,0.0
ne méně než,11.0,6.666666666666667,46.666666666666664,0.0
nedaleko,15.653846153846153,6.0,88.46153846153847,65.38461538461539
nejen že,15.416666666666666,5.708333333333333,62.5,0.0
než dojde,13.4,5.2,66.66666666666667,6.666666666666667
nic jiného než,16.5,7.0,33.333333333333336,4.166666666666666
nic takového,11.666666666666666,6.75,41.666666666666664,12.5
po skončení,16.307692307692307,5.076923076923077,84.61538461538461,61.53846153846154
podle něj,11.894736842105264,6.157894736842105,36.8421052631579,5.263157894736842
podle všeho,13.421052631578947,5.105263157894737,78.94736842105263,5.263157894736842
potom co,14.933333333333334,5.933333333333334,60.0,6.666666666666667
povídalo se,18.63157894736842,5.578947368421052,57.89473684210526,0.0
proboha,11.052631578947368,5.631578947368421,84.21052631578948,0.0
proto že,12.466666666666667,6.4,33.333333333333336,20.0
před okamžikem,14.105263157894736,6.631578947368421,31.57894736842105,0.0
přesně tak,12.0,6.0,66.66666666666667,0.0
s ohledem na,21.807692307692307,6.8076923076923075,46.15384615384615,15.384615384615385
skoro ještě,23.347826086956523,6.260869565217392,34.78260869565217,0.0
snad jen,19.133333333333333,7.466666666666667,93.33333333333333,0.0
tímto způsobem,12.894736842105264,5.2105263157894735,52.63157894736842,15.789473684210526
už vůbec,13.133333333333333,6.0,33.333333333333336,0.0
v blízkosti,14.461538461538462,6.384615384615385,53.84615384615385,69.23076923076923
v důsledku,18.61111111111111,6.277777777777778,33.333333333333336,5.555555555555555
v jádru,9.894736842105264,5.0,68.42105263157895,0.0
v každém případě,13.105263157894736,4.631578947368421,78.94736842105263,10.526315789473683
v odpověď,11.578947368421053,4.684210526315789,84.21052631578948,31.57894736842105
v platnost,19.53846153846154,6.576923076923077,61.53846153846154,3.8461538461538463
v podstatě,14.631578947368421,4.473684210526316,73.6842105263158,5.263157894736842
v tom okamžiku,12.736842105263158,4.7894736842105265,26.31578947368421,15.789473684210526
ve formě,14.5,4.961538461538462,65.38461538461539,73.07692307692307
všeho všudy,12.75,6.041666666666667,62.5,0.0
z toho,16.2,5.266666666666667,26.666666666666668,13.333333333333334
za účelem,18.076923076923077,5.076923076923077,80.76923076923077,11.538461538461538
úplně jedno,14.526315789473685,6.894736842105263,57.89473684210526,5.263157894736842
či co,12.416666666666666,6.041666666666667,41.666666666666664,33.33333333333333
čím více,13.466666666666667,5.6,46.666666666666664,20.0
