source_text_to_be_translated,user_free_translation_time_taken,user_mcq_translation_time_taken,accuracy_mcq,accuracy_free
a navíc,13.333333333333334,5.666666666666667,66.66666666666667,12.5
ale vždyť,13.333333333333334,3.6666666666666665,0.0,20.0
asi spíš,27.0,5.0,100.0,4.166666666666666
až dosud,11.333333333333334,4.0,100.0,15.789473684210526
až po,15.5,3.8,60.0,38.46153846153847
celý život,34.8,3.8,100.0,27.77777777777778
i když,11.0,2.0,100.0,6.666666666666667
jak by ne,12.11111111111111,4.555555555555555,77.77777777777777,37.5
jak je známo,12.76923076923077,2.769230769230769,100.0,68.42105263157895
krátce řečeno,13.4,4.2,100.0,52.63157894736842
lze říci,14.0,4.0,0.0,5.263157894736842
mezi jiným,14.5,5.0,75.0,21.052631578947366
na konec,18.875,4.875,87.5,29.629629629629626
na sebe,19.0,3.0,100.0,26.31578947368421
na světě,12.166666666666666,5.0,83.33333333333333,66.66666666666666
na účet,18.5,4.75,50.0,30.76923076923077
navzdory tomu,22.307692307692307,4.461538461538462,92.3076923076923,48.148148148148145
nedaleko,14.529411764705882,5.117647058823529,88.23529411764706,65.38461538461539
než dojde,11.0,2.0,100.0,6.666666666666667
nic jiného než,7.0,2.0,0.0,4.166666666666666
nic takového,9.0,3.3333333333333335,100.0,12.5
po skončení,18.0,5.0,87.5,61.53846153846154
podle něj,10.0,3.0,100.0,5.263157894736842
podle všeho,10.0,2.0,100.0,5.263157894736842
potom co,19.0,5.0,100.0,6.666666666666667
proto že,14.0,5.0,33.333333333333336,20.0
s ohledem na,21.5,5.0,50.0,15.384615384615385
tímto způsobem,9.0,3.0,66.66666666666667,15.789473684210526
v blízkosti,14.88888888888889,5.833333333333333,66.66666666666667,69.23076923076923
v důsledku,17.0,4.0,100.0,5.555555555555555
v každém případě,19.0,4.0,100.0,10.526315789473683
v odpověď,12.0,3.5,100.0,31.57894736842105
v platnost,26.0,6.0,100.0,3.8461538461538463
v podstatě,8.0,3.0,100.0,5.263157894736842
v tom okamžiku,19.333333333333332,4.0,0.0,15.789473684210526
ve formě,14.263157894736842,4.315789473684211,68.42105263157895,73.07692307692307
z toho,39.0,8.5,0.0,13.333333333333334
za účelem,27.333333333333332,6.0,66.66666666666667,11.538461538461538
úplně jedno,15.0,4.0,100.0,5.263157894736842
či co,14.25,4.875,50.0,33.33333333333333
čím více,15.666666666666666,3.6666666666666665,33.333333333333336,20.0
