source_text_to_be_translated,user_free_translation_time_taken,user_mcq_translation_time_taken,accuracy_mcq,accuracy_free
а то й,12.625,3.5,100.0,38.095238095238095
аж до,14.6,5.0,100.0,41.66666666666667
але ж,8.0,6.333333333333333,66.66666666666667,14.285714285714285
в будь-якому випадку,17.0,7.666666666666667,66.66666666666667,40.0
в результаті,12.214285714285714,4.0,100.0,87.5
в тому числі,12.928571428571429,3.857142857142857,100.0,66.66666666666666
в істоті,14.142857142857142,2.857142857142857,57.142857142857146,46.666666666666664
все ж,18.23076923076923,3.8461538461538463,100.0,65.0
все одно,14.666666666666666,3.1666666666666665,100.0,35.294117647058826
від того що,12.75,3.75,87.5,36.36363636363637
до сих пір,13.428571428571429,3.642857142857143,100.0,87.5
з огляду на,26.0,5.0,0.0,8.333333333333332
з приводу,10.0,3.0,100.0,8.333333333333332
за його думкою,17.125,4.125,100.0,50.0
за чутками,39.0,5.0,100.0,12.5
можна сказати,13.25,4.25,91.66666666666667,80.0
між іншим,13.0,3.2857142857142856,85.71428571428571,46.666666666666664
на світі,16.142857142857142,3.642857142857143,100.0,87.5
на себе,13.0,3.272727272727273,100.0,68.75
не раз,28.5,5.5,100.0,68.08510638297872
не те що,13.785714285714286,5.214285714285714,100.0,70.0
не інакше як,16.0,3.3,100.0,50.0
неподалік від,19.0,6.166666666666667,100.0,50.0
ну гаразд,16.2,7.2,100.0,25.0
нічого подібного,11.933333333333334,3.466666666666667,100.0,75.0
одним словом,10.23076923076923,3.3846153846153846,100.0,86.66666666666667
перш ніж,19.25,2.5,100.0,18.181818181818183
по сутi,8.071428571428571,3.857142857142857,100.0,87.5
поруч з,16.0,3.0,100.0,8.333333333333332
після закінчення,18.142857142857142,6.714285714285714,28.571428571428573,58.333333333333336
після того як,11.5,4.583333333333333,100.0,57.14285714285714
ради бога,7.0,6.0,100.0,6.666666666666667
саме що,11.5,3.0,100.0,10.0
судячи з усього,12.222222222222221,3.7777777777777777,88.88888888888889,60.0
таким чином,17.555555555555557,7.888888888888889,100.0,56.25
тим більше,11.88888888888889,3.5555555555555554,100.0,40.909090909090914
тут же,13.142857142857142,3.642857142857143,100.0,82.35294117647058
тільки шо,14.692307692307692,5.153846153846154,76.92307692307692,76.47058823529412
у відповідь,37.6,3.6,100.0,31.25
у кінці,11.0,3.0,100.0,41.66666666666667
у формі,16.285714285714285,4.285714285714286,85.71428571428571,58.333333333333336
убік,12.5,3.0,100.0,12.5
усього-на-всього,14.5625,3.1875,100.0,84.21052631578947
хоча б,10.0,4.571428571428571,100.0,33.33333333333333
хоча і,10.363636363636363,3.727272727272727,100.0,50.0
хіба що,22.0,5.5,100.0,19.047619047619047
ціле життя,13.0,4.444444444444445,100.0,56.25
чи що,15.142857142857142,4.571428571428571,57.142857142857146,35.0
чим більше,11.0,4.466666666666667,93.33333333333333,68.18181818181817
ще і,13.090909090909092,4.181818181818182,90.9090909090909,55.00000000000001
що називається,14.916666666666666,5.333333333333333,100.0,80.0
як би не так,9.133333333333333,3.2,100.0,78.94736842105263
як відомо,15.384615384615385,3.5384615384615383,84.61538461538461,86.66666666666667
як тільки,11.727272727272727,3.6363636363636362,100.0,52.38095238095239
із боку,17.666666666666668,4.333333333333333,100.0,25.0
