audio_number,Expression RU,Expression L2,Sentence,Surprisal Data
1,не раз,не раз,не раз відаць яны пра гэта гаварылі…,14.097159385681152
2,все равно,ўсе роўна,"і колькі б я не зарабляў, хоць мільён, хоць сто мільёнаў, табе ўсе роўна будзе мала.",14.192902565002441
3,только что,толькі што,"старшыня беларускага фонду культуры уладзімір гілеп прэзентаваў у ялце новае арыгінальнае выданне твораў максіма багдановіча, толькі што выпушчанае ў свет фондам культуры.",14.79796028137207
4,тут же,тут жа,"— у свярдлоўску сыйшла, — сказаў я першае, што прыйшло ў галаву, і тут жа падумаў: “а, можа, і праўда: у свярдлоўску сыйшла?..",14.489538192749023
5,до сих пор,да гэтай пары,да гэтай пары яны мне любоўна кажуць: “якое гладкае ў цябе і мускулістае цела…”,13.858118057250977
6,в ответ,у адказ,"ступак нешта мармытаў у адказ, што мала разумее сам.",14.510350227355957
7,в сторону,ўбок,"капітан між тым варухнуў упартым падбародкам, паказваючы кудысьці ўбок.",13.929834365844727
8,на себя,на сябе,"такім чынам, шматлікія версіі сышліся ў непрыемнай знаходцы шэрагу містыфікацый, якія больш за паўстагоддзя нацягвалі на сябе маску арыгінальных тэкстаў.",13.482050895690918
9,по существу,па сутнасці,"зрэшты, асабліва нікога і не шукалі, адразу населі на гэтых чатырох пуцейцаў,  хоць,  па сутнасці,  ніякіх канкрэтных супраць іх улік і не мелі.",13.06821346282959
10,всю жизнь,ўсе жыцце,"хаця, ты ведаеш, мне часам здаецца, што я ўсе жыцце быў мужыком.",14.283019065856934
11,в результате,у выніку,сікхізм уяўляе сабой рэлігію што паходзіць з індыйскага субкантынента. яна зявілася ў 15 стагоддзі ў рэгіене пенджаб у выніку ўзнікнення ў індуізме розных сектанцкіх груп.,13.697614669799805
12,на свете,на свеце,"ведаеш, наташанька, я самая шчаслівая жанчына на свеце, калі ў мяне есць такі муж.",14.80783462524414
13,разве что,хіба толькі,"хіба толькі хітрыць будзе, паказваючы, нібы яму тужліва",14.092811584472656
14,в том числе,у тым ліку,"шмат млекакормячых з'явілася на галапагосах з моманту прыбыцця туды чалавека, у тым ліку коз, коней, кароў, катоў, сабак і пацукоў.",12.996593475341797
15,как только,як толькі,"можаце быць упэўнены, што, як толькі вы трапіце на прыстань ці прычал, усе стане відавочна.",13.70162296295166
16,а то и,а то і,"яна не верыць мне і думае, што яе пакараюць не так, як мяне, а то і апраўдаюць: яна ж баранілася.",14.011767387390137
17,после того как,пасля таго як,"згодна з паведамленнем ўладаў штата агая, супраць лекара дзіцячай бальніцы горада пітсбурга, штат пенсільванія, будуць выстаўлены абвінавачванні ў забойстве пры абцяжваючых абставінах, пасля таго, як у сераду яе маці знайшлі мертвай у яе машыне.",13.206110000610352
18,чем больше,чым больш,"ды й думаў я не так, як крабіч, а наадварот: чым больш нармальных людзей ва ўладзе, тым лепш — яны павінны там быць.",13.810132026672363
19,хотя и,але не,тыгр здольны лазіць (але не так добра).,14.39481258392334
20,оттого что,ад таго што,"прачнуўшыся ад таго, што мяне тармасіла лі-лі, я не мог зразумець, як яна тут, на трыбуне, мяне знайшла.",13.971159934997559
21,да ведь,ды зусім,"ах, радзівон парфіравіч, ды зусім жа ён немаўля, яшчэ і сіротка!",13.007743835449219
22,хотя бы,як мінімум,у асобных краінах ці тыпах крам есць як мінімум адзін рэстаран з даступнымі цэнамі і без аніякіх фармальных патрабаванняў.,14.49194049835205
23,тем более,тым больш,"пакуль яна была маленькая, мне таксама здавалася, што мы падобныя, тым больш пры такім знешнім падабенстве…",14.638854026794434
24,прежде чем,перш чым,"пройдзе яшчэ шмат гадоў, перш чым будуць пабудаваны прыгодныя для эксплуатацыі рэактары тэрмаядзернага сінтэзу.",12.862135887145996
25,по слухам,па чутках,"а можа, гэта быў воўк-людаед, якіх, па чутках, шмат развялося ў навакольных пушчах.",13.643174171447754
26,таким образом,такім чынам,"такім чынам, паводле экспертнай ацэнкі, інфляцыя з пачатку года склала 4, 7%.",14.867292404174805
27,во всяком случае,ва ўсякім разе,"спадарыня стэйр, якая нібыта нарадзілася ў люйсьвіле, штат кентукі, ды адышла ў іншы свет ў 1988 годзе ва ўзросьце 86 гадоў увогуле ніколі не існавала, ва ўсякім разе, з гэтым імем альбо літаратурным псеўданімам.",12.2988862991333
28,между прочим,мiж iншым,"у беларусi ""кошт"" гадзiны працы медыцынскiх работнiкаў складае ўсяго 4404 рублi, а гэта, мiж iншым, толькi 59, 7 працэнта ад аплаты за гадзiну працы ў прамысловасцi.",13.267036437988281
29,можно сказать,можна сказаць,"можна сказаць, яму проста пашанцавала, абы толькі ўдалося.",15.493154525756836
30,в сущности,у сутнасці,"у сутнасці, ніякага асаблівага працы або небяспекі ў паляванні няма.",11.670937538146973
31,как известно,як вядома,"як вядома, пчолы патрэбны дзеля таго, каб рабіць мед.",12.494805335998535
32,по его мнению,на яго думку,"на яго думку, у нас на падобныя тэмы пішуць нецікава і мала.",14.75486946105957
33,одним словом,адным словам,"адным словам, пад мінскам есць такая спецыяльная бальніца, дзе раней паміралі вось такія асуджаныя…",14.645604133605957
34,что называется,што называецца,"што называецца, не ў службу, а ў дружбу.",16.83323097229004
35,судя по всему,мяркуючы па ўсім,"мяркуючы па ўсім, палкоўнік быў чалавек гаваркі і меў процьму часу.",13.047691345214844
36,ради бога,дзеля бога,"дзеля бога, пакіньце ў пакоі маю бедную галаву.",16.22806167602539
37,все же,усе ж,"і мяне ўразіла, што нават у сельскіх мужыкоў, простых і грубых, з жанчынамі усе ж асаблівыя адносіны.",13.686546325683594
38,еще и,яшчэ і,"за словам містыфікацыя часта крыецца яшчэ і прымітыўная, ілжывая ды бессэнсоўная авантура.",14.083680152893066
39,что ли,ці што,"ты ж сам казаў. не памятаеш, ці што?",15.202351570129395
40,не то что,не тое што,"іх не было, наколькі я змог заўважыць, і ў спальні, ды не тое што кніжных паліц — нідзе ніводнай кнігі не віднелася.",13.700663566589355
41,едва ли не,ледзьве не,"аднак у расказах дзядзькі захары, ледзьве не казачна аддаленых па месцы і часе дзеяння, слухачы лавілі перш за ўсе смешнае.",13.455096244812012
42,ничего подобного,нічога падобнага,ніхто раней мне нічога падобнага не расказваў.,13.672611236572266
43,да ладно,ды годзе,"ды годзе, багдан. ведаю я, што ты скажаш.",15.172798156738281
44,не иначе как,няйначай як,i намацаў тут бацька міколкі няйначай як ментуза.,12.815199851989746
45,почти что,амаль што,"яна разумела і нават апраўдвала, калі на гэта ішлі дарослыя ― акружэнцы і свае мужыкі, але што ў той калатнечы магло прывабіць падлеткаў, амаль што дзяцей?",13.747243881225586
46,именно что,іменна што,"вось іменна, што лепш. i калі мне не скажаш, то адкажаш перад камендантам.",14.229340553283691
47,как бы не так,як бы не так,"як бы не так, – сказаў ён і нецярпліва вызваліў рукі.",15.505098342895508
48,всего-навсего,ўсяго толькi,"гэта было ўжо i не балотца, а ўсяго толькi маленькае акенца каля старога пня.",13.259784698486328
49,несмотря на,нягледзячы на,"яны былі асуджаныя, нягледзячы на сур'езныя сумненні наконт іх ролі ў гэтай трагічнай падзеі.",13.136574745178223
50,в конце,ў канцы,ен па дыпламатычных каналах дапамагаў картэру разбірацца з рознымі міжнароднымі пытаннямі. у якасці прыкладу можна прывесці нармалізацыю амерыкана-кітайскіх стасункаў прыблізна ў канцы 1970-х гадоў.,14.177370071411133
51,рядом с,побач з,я ўяўвіў сябе побач з ею ў бальнічным халаце і шлепках.,14.428227424621582
52,вплоть до,аж да,"няўстойка за парушэнне тэрмiнаў пачатку выканання работы (аказання паслугi), яе этапа спаганяецца за кожны дзень (гадзiну, калi тэрмiн вызначаны ў гадзiнах) пратэрмiноўкi затрымкі аж да пачатку выканання работы.",13.459077835083008
53,в виде,у выглядзе,"на ўсей тэрыторыі зімовыя, а ў арктыцы і летнія ападкі выпадаюць у выглядзе снегу.",13.492965698242188
54,со стороны,з боку,"у афіцыйнай заяве кіраўнік камітэта звяртае ўвагу на тое, што падобныя парушэнні з боку уладаў не з'яўляюцца адзінкавымі.",13.591509819030762
55,по поводу,з нагоды,прэс-сакратар мінпрыроды алена пенязь абвінаваціла літву ў свядомым ухіленні ад дыялогу з беларуссю з нагоды астравецкай аэс.,12.932954788208008
56,в силу,ў сілу,мо ў сілу сваей навуковай інтуіцыі яна не паверыла ў пануючую версію.,13.348726272583008
57,недалеко от,недалека ад,"на калідоры каля выхада на лесвіцу, недалека ад маей палаты топчацца міліцыянт.",14.183380126953125
