audio_number,Expression RU,Expression L2,Sentence,Surprisal Data
1,не раз,не веднъж,"сашо бе возил с него чичо си не веднъж и не два пъти, носеше винаги в себе си резервните ключове.",10.076566696166992
2,все равно,все едно,"сега му е все едно дъщеря, не-дъщеря.",14.444726943969727
3,только что,току-що,"зад залостената врата беше девети номер, в който току-що влезе александър григориевич.",13.228572845458984
4,тут же,още начаса,"та нали ако кажеш на дивака да остави тоягата, той още начаса, напук, ще направи още три такива тояги…",10.773771286010742
5,до сих пор,досега,"къде изчезна и, защо – и досега е загадка. а бандата му се разпадна – кой накъдето му видят очите.",13.054886817932129
6,в ответ,в отговор,в отговор игор само въздъхна.,14.479007720947266
7,в сторону,встрани,валя побутна шефа встрани.,14.754620552062988
8,на себя,на себе си,"капитанът, обикновено спокоен, добродушен, сега сякаш не беше на себе си",11.208562850952148
9,по существу,по същество,"марк александрович забеляза недоволството на серго, беше огорчен, но знаеше, че серго не е отмъстителен, нито злопаметен, още повече че по същество марк александрович беше прав и не беше виновен.",12.030903816223145
10,всю жизнь,цял живот,татко цял живот само с фьодор михайлович се е занимавал.,11.034086227416992
11,в результате,в резултат,"парагвай, преди наричан „гигантската провинция на индия“, е роден през 16-ти век в резултат на срещата на испанските завоеватели с местните групи.",11.588011741638184
12,на свете,на света,"няма вече такива девойки на света, помисли си той.",12.12307357788086
13,разве что,освен да,освен да… – взе синята папка от масата. дръжте.,11.468994140625
14,в том числе,в това число,"задържани са от вас наши кораби, в това число и „малака“, наета за рейс до япония.",13.019159317016602
15,как только,още щом,това стана ясно още щом минахме през портала.,12.539007186889648
16,а то и,че даже и,"салов съобщи на панафидин, че в района на шикотан мъглата се задържа понякога месец, че даже и повече…",10.885043144226074
17,после того как,след като,"след като информацията, оповестена от журналиста макис триантафилопулос в популярното му телевизионно предаване „zoungla“ по алфа тв, депутатът и адвокат, петрос мантувалос, се отказа от поста си.",10.74669075012207
18,чем больше,колкото повече,"колкото повече мислех по този въпрос, толкова повече се убеждавах, че познавам младежа.",10.964537620544434
19,хотя и,макар и,"тигърът, като добре закръглен атлет, може да се катери (макар и не добре), да плува, да прави огромни скокове и да дърпа със силата на петима здрави човека.",9.872435569763184
20,оттого что,от това че,"да не би да ми стане по-леко от това, че е машина.",13.145832061767578
21,да ведь,та нали,"та нали те нямаха нищо, освен него!",11.819953918457031
22,хотя бы,най-малкото,"и което беше най-лошото, да бъде съучастник или най-малкото свидетел на бандитското спиране на един от товарните влакове по този участък.",10.484574317932129
23,тем более,още повече,"още повече че карл не е роден в мадрид, нито изобщо в испания.",11.060460090637207
24,прежде чем,преди да,"това обаче е много трудна задача за решаване и ще са нужни много години, преди да видим изграждането на полезни реактори за синтез.",10.851587295532227
25,по слухам,според слухове,според слухове граничните ни земи с баязид били размирни и той не смеел да изтегли оттам най-добрата си войска.,10.776268005371094
26,таким образом,по такъв начин,по такъв начин този проблем с военните превози е решен.,11.48134708404541
27,во всяком случае,във всеки случай,във всеки случай сега съм сам и изоставен.,12.477540016174316
28,между прочим,между другото,и между другото въпросният „един час време отдавна беше минал.,13.010737419128418
29,можно сказать,може да се каже,"всичко това спомогна най-вече и за този неочакван случай, благодарение на който сега се променя, може да се каже, цялата ни съдба.",10.689945220947266
30,в сущности,в същност,"в същност тя не „заставаше, а някак витаеше наоколо му като една сянка, която неочаквано беше добила едно ново измерение, плътността.",10.550132751464844
31,как известно,както е известно,както е известно светът не е останал без добри хора.,11.726910591125488
32,по его мнению,по негово мнение,"сега той почна едно сепнато pizzicato, което по негово мнение изображаваше песента: „открадна-ла сей, бабината, сла-сланин-каа, сланинка, откраднала сей бабината сланинка“… която „сланинка “цяла е открадната от чешката „slaninka“.",10.779312133789062
33,одним словом,с една дума,"с една дума, всички бяха затънали в работа до гуша…",11.404321670532227
34,что называется,дето се вика,"дето се вика, останаха с пръст и устата!",12.13415813446045
35,судя по всему,съдейки по всичко,"момичето бързешком извади парите и ги хвърли в найлоновия плик, но съдейки по всичко, сумата бе смехотворна.",10.00971508026123
36,ради бога,за бога,"пишете, за бога, пишете, ще чакам!",11.95712661743164
37,все же,все пак,но все пак… моля ви да си спомните накъде хукна другият престъпник.,11.69066047668457
38,еще и,още и,тази операция е скъпа още и заради бащините чувства.,13.540458679199219
39,что ли,ли е,за кавказ ли е? равнодушно попита колка.,11.48995304107666
40,не то что,камо ли,"ами той, ако искаш да знаеш, дори мислите ни чува! камо ли разговорите…",10.163222312927246
41,едва ли не,едва ли не,"той имаше сбръчкано личице, редички бели косици и напрегнат и едва ли не страхлив поглед.",10.555013656616211
42,ничего подобного,нищо подобно,"от двайсет и пет години насам, професоре, кълна ви се, нищо подобно.",11.385490417480469
43,да ладно,добре де,"добре де, пошегувах се, имам само едно огледало и то се намира в антрето…",10.707350730895996
44,не иначе как,без друго,"— без друго тая мръсница — каза той — ще да е изпуснала писалката из ливадата — и заедно с коста отидоха нататък, наведени из ливадата.",10.590619087219238
45,почти что,почти като,"колкото за самата епидемия, той не се вълнуваше никак от нея и я считаше почти като сезонно явление, подобно на лятната диария по кърмачетата.",11.490072250366211
46,именно что,именно че,"това още преди две години и половина го знаех и две години и половина вече мисля за това именно, че «дунечка много неща може да понесе».",11.32306957244873
