audio_number,Expression RU,Expression L2,Sentence,Surprisal Data
1,не раз,ne jednou,konec konců tam skutečně byl a ne jednou.,13.347975730895996
2,все равно,úplně jedno,který konkrétně? to je přece úplně jedno.,11.70630931854248
3,только что,před okamžikem,"tam, kde jsem před okamžikem stál, zasvištělo ostří ostroplochého meče.",11.246491432189941
4,тут же,v tom okamžiku,"v tom okamžiku jsem pocítil, jak praská naše podlaha.",12.013715744018555
5,до сих пор,až dosud,"až dosud jsme se mohli shodnout na tom, že lepší než špatná politika je žádná politika a nulové vztahy.",9.609382629394531
6,в ответ,v odpověď,byla by uslyšela v odpověď jen další strofu písně.,10.269210815429688
7,в сторону,na stranu,lans ukázal na stranu.,16.467439651489258
8,на себя,na sebe,velké západní nadnárodní firmy a korporace na sebe vzaly politickou roli.,10.27119255065918
9,по существу,v jádru,v jádru byl stejný jako ona.,9.79614543914795
10,всю жизнь,celý život,"v barguzinském národním parku jsme se zase seznámili s paní irinou ivanovnou, která ochraně přírody zasvětila prakticky celý život.",10.822545051574707
11,в результате,v důsledku,artemidin chrám v efesu byl zničen 21. července 356 př.n.l. v důsledku žhářství spáchaného herostratem.,10.11250114440918
12,на свете,na světě,"neexistuje na světě hrdina, jenž by nebyl někomu ukraden, a není země, která by původně nebyla někoho jiného.",11.025918006896973
13,разве что,snad jen,kdo tohle ví? řekl nakladatel. snad jen vítr.,11.201122283935547
14,в том числе,z toho,"chlapec ukryl více než 600 poštovních dokumentů, z toho 429 novoročních přání,",10.544681549072266
15,как только,co nejrychleji,co nejrychleji přijdeme.,10.451592445373535
16,а то и,dokonce i,"ještě před půl stoletím bylo na takové dobývání třeba věnovat mnoho času (i týdny, dokonce i měsíce!).",9.896303176879883
17,после того как,potom co,"zaslechl vrzání pantů asi přes čtyři střechy nedlouho potom, co jeho přítel odešel.",10.233723640441895
18,чем больше,čím více,"čím více a rychleji se nato bude rozšiřovat, tím rychleji zmizí v archivu",9.956628799438477
19,хотя и,i když,"tygr dokáže šplhat (i když ne dobře), plavat, skákat na velké vzdálenosti.",11.009023666381836
20,оттого что,proto že,"já, musím se přiznat, jsem ji nechala u chatfieldů také proto, že bych s ní zrovna teď nerada zůstala o samotě.",10.742612838745117
21,да ведь,ale vždyť,"máš pravdu, je nešťastná, ale vždyť to je jen knížka.",12.619253158569336
22,хотя бы,ne méně než,"jistě ne méně než pět set měsíčně, ne-li plných šest set.",9.786734580993652
23,тем более,už vůbec,"a už vůbec není jisté, zdali případné změny režimů budou k lepšímu.",11.085630416870117
24,прежде чем,než dojde,"potrvá mnoho let, než dojde ke stavbě použitelných fúzních reaktorů.",11.363316535949707
25,по слухам,povídalo se,"povídalo se, že předseda byl bílý jako stěna, opile vrávoral a něco blekotal. ",10.09282112121582
26,таким образом,tímto způsobem,tímto způsobem se tam pro rusy otevírá obrovský obchodní potenciál.,12.725613594055176
27,во всяком случае,v každém případě,v každém případě odneste kotě i misku.,10.392850875854492
28,между прочим,mezi jiným,"mezi jiným jsem pozoroval, že dr kramář bude mít potíže.",9.58720588684082
29,можно сказать,lze říci,"lze říci, že trasu letu lze měnit pouze z důvodu zajištění bezpečnosti a ochrany zdraví.",10.188024520874023
30,в сущности,v podstatě,"jediné, co udělám ― jediné, co si troufnu udělat ― bude v podstatě taková hloupost…",10.806118965148926
31,как известно,jak je známo,"jak je známo, bzučet mohou jedině včely.",11.570677757263184
32,по его мнению,podle něj,podle něj je tohle jeden z hlavních důvodů.,12.647847175598145
33,одним словом,krátce řečeno,"krátce řečeno, jako jeho stájník. a také byste ošetřoval psy.",10.834529876708984
