audio_number,Expression RU,Expression L2,Sentence,Surprisal Data
1,не раз,niejednokrotnie,"cesarz rzymski niejednokrotnie pokazał, że przyjacielem korony polskiej nie jest.",12.369675636291504
2,все равно,wszystko jedno,"zamieszanie potęgował fakt, że niektórzy zachowywali neutralność, to znaczy było im wszystko jedno, kogo napadają i grabią, napadali i grabili wszystkich.",11.729475021362305
3,только что,przed chwilą,"a reynevan zacytował przed chwilą autorytety, które trochę jakby przeczą temu, co zeznajesz.",10.145505905151367
4,тут же,a tu,a tu zdeponowane przez ottona beessa sto guldenów.,10.055703163146973
5,до сих пор,nadal,"tak, jak to robiła nadal.",14.551640510559082
6,в ответ,w odpowiedzi,"zwyczaj nakazywał w odpowiedzi na takie niedomówienie zrobić mądrą minę, westchnąć i znacząco pokiwać głową.",11.058487892150879
7,в сторону,w bok,"- nastraszyli mnie - powiedziała, patrząc w bok.",12.861298561096191
8,на себя,na siebie,"wiedząc o tym, niektórzy donosili więc sami na siebie.",10.933976173400879
9,по существу,w rzeczywistości,"rewolucja z chwilą upadku powstania warszawskiego w rzeczywistości już się dokonała, droga do niej była otwarta.",9.603166580200195
10,всю жизнь,całe życie,"reynevan tymczasem uciekał, a szło mu to tak, jak gdyby całe życie nie robił nic innego, tylko galopował w więzach.",9.775485038757324
11,в результате,w rezultacie czego,"kości zostają rzucone, w rezultacie czego wydarza się to, co jakoby - nieuniknione i nieuchronne.",11.539153099060059
12,на свете,na świecie,"rzecz w tym, że wszystko, absolutnie wszystko na świecie, ma trzy aury.",12.133499145507812
13,разве что,chyba że,chyba że książę niedomaga.,11.04636287689209
14,в том числе,w tym,"turystyka przyrodnicza przyciąga osoby lubiące spędzać czas na łonie natury, podziwiać krajobrazy, w tym dziką roślinność i zwierzęta.",10.04865550994873
15,как только,jak tylko,"jak tylko dolatywał mnie zapach spalonego węgla, od razu stawał mi przed oczyma początek mojej służby.",11.294233322143555
16,а то и,albo i,trądem nas zarazić gotów! albo i czym gorszym!,12.090370178222656
