audio_number,Expression RU,Expression L2,Sentence,Surprisal Data
1,не раз,не раз,"не раз я бачив, як вони, поранені стрілою, знаходячись далеко від хірургів, перев'язували себе, заліпивши рану жменею землі, змішаною на долоні з порцією власної слини.",12.115704536437988
2,все равно,все одно,"їх, хоч як тасуй, у цій засаленій колоді все одно жодної пристойної карти не витягнеш.",12.433621406555176
3,только что,тільки шо,"от тільки шо нікого не було, аж осьдечки й він, де не взявся.",13.902356147766113
4,тут же,тут же,"коли ж навідався до делятина, його хтось побачив і тут же здав.",12.217978477478027
5,до сих пор,до сих пір,"цивілізований світ до сих пір не знає не те що літератури української, а й взагалі такої країни, такого народу.",13.624835014343262
6,в ответ,у відповідь,"респондент у відповідь на це поцікавився, чи не з'являється іноді над його зеленими столами привид композитора вагнера.",11.860270500183105
7,в сторону,убік,"автомат полетів далеко убік, «корінь» в паніці кинувся в хащі.",11.954998016357422
8,на себя,на себе,"всі хочуть командувати, але ніхто не хоче звалити на себе відповідальність…",12.66431713104248
9,по существу,по сутi,"по сутi, партія більшовиків брала на озброєння есерівську аграрну програму.",15.175765037536621
10,всю жизнь,ціле життя,"у якихсь мемуарах раневської я прочитала, що вона ціле життя любила пушкіна.",13.564756393432617
11,в результате,в результаті,"у 16 столітті в результаті зіткнень іспанських завойовників з групами корінних народів був створений парагвай, який раніше називався гігантською провінцією індійців.",12.22836685180664
12,на свете,на світі,"перед сном вона обов'язково читала йому вголос, потім вони розмовляли про все на світі, поки останні слова не поринали в сон.",12.766526222229004
13,разве что,хіба що,"хіба що «варену» (цей давній напій українців називали ще варенухою, варьохою).",11.805590629577637
14,в том числе,в тому числі,"у результаті два види риб вимерли, а два інших виявилися під загрозою зникнення, в тому числі - горбатий головень.",12.490425109863281
15,как только,як тільки,"будьте певні, що як тільки ви дістанетесь марини, все буде достатньо очевидним. ви зустрінете інших човнових попутників і вони поділяться з вами своєю інформацією.",11.664937973022461
16,а то и,а то й,"виросте й стане ледацюгою, сутяжником, а то й бандюгою.",12.252015113830566
17,после того как,після того як,"після того як опір групи бухаріна було зламано, перегляду цього рішення ніщо не перешкоджало.",12.085001945495605
18,чем больше,чим більше,"хоча, чим більше часу проходить, тим очевидніше те, що багато хто добре розумів ще в наповнені космічною романтикою шістдесяті.",10.763739585876465
19,хотя и,хоча і,"тигр, як всебічно розвинутий атлет, може дертися вгору (хоча і не дуже вміло).",11.842947006225586
20,оттого что,від того що,"дімка прокинувся від того, що хтось його шарпав і кричав.",12.181946754455566
21,да ведь,але ж,"але ж і справді як добре!, - сказав він зненацька, ніби осяяний новою ідеєю.",11.493684768676758
22,хотя бы,хоча б,"злочин визнається вчиненим на території україни, якщо його виконавець або хоча б один із співучасників діяв на території україни.",11.674674034118652
23,тем более,тим більше,"цікаво послухати, а тим більше дати і свою «безцінну» пораду сзр.",11.664328575134277
24,прежде чем,перш ніж,"однак, цю проблему дуже важко вирішити, і пройде багато років, перш ніж ми станемо свідками будівництва придатних термоядерних реакторів.",11.581438064575195
25,по слухам,за чутками,"а те, що клуб, за чутками, кришує губернатор, теж особливого резонансу не викликало — нічого іншого від губернатора, в принципі, й не чекали.",11.850992202758789
26,таким образом,таким чином,"таким чином, не треба було виходити з палацика у ті святочні дні, коли муситься трапезувати під відкритим небом.",11.478034973144531
27,во всяком случае,в будь-якому випадку,"що ж, доживемо до понеділка, хоча і він не обіцяє нам спокою, в будь-якому випадку, в телевізійному просторі.",11.482817649841309
28,между прочим,між іншим,були сказані наче між іншим дві чи одна фраза.,11.591928482055664
29,можно сказать,можна сказати,"це, можна сказати, взірець ставлення до рідної мови.",13.519353866577148
30,в сущности,в істоті,"які ж вони всі, в істоті, були більшовики, які нелюди.",11.628608703613281
31,как известно,як відомо,"тургенєв, наприклад, в тих же 40-х роках дає свої «записки охотника», в яких, як відомо, ідеалізує селянина і підносить його крізь призму свого ліберально-поміщицького світогляду.",11.200081825256348
32,по его мнению,за його думкою,"безкрилий реалізм крабба не міг, за його думкою, передати усю повноту, всю чарівність і всю велич сільського життя.",11.96253776550293
33,одним словом,одним словом,"одним словом, творчий елемент, елемент саморозвитку, самобутності переважав.",13.257538795471191
34,что называется,що називається,"вона (як і сама оксана) безперервно курсує поміж києвом та нью-йорком, тусується, що називається, з американською літературною та інтелектуальною богемою.",12.844572067260742
35,судя по всему,судячи з усього,"судячи з усього, мвс дійсно дуже заважає комусь, хто прагне електорального тріумфу.",12.453086853027344
36,ради бога,ради бога,"— ваша королівська величносте! мовчіть! мовчіть, ради бога! — заблагав янкель.",12.495710372924805
37,все же,все ж,"і все ж безуспішність спроб реалізувати в масовому масштабі заходи щодо організаційно-господарського зміщення колгоспів, пояснювалася руйнівним впливом продрозкладки.",11.815485000610352
