audio_number,Expression RU,Expression L2,Sentence,Surprisal Data
1,не раз,не веднъж,"сашо бе возил с него чичо си не веднъж и не два пъти, носеше винаги в себе си резервните ключове.",33.31724166870117
2,все равно,все едно,"сега му е все едно дъщеря, не-дъщеря.",37.41093063354492
3,только что,току-що,"зад залостената врата беше девети номер, в който току-що влезе александър григориевич.",34.9260139465332
4,тут же,още начаса,"та нали ако кажеш на дивака да остави тоягата, той още начаса, напук, ще направи още три такива тояги…",35.66139602661133
5,до сих пор,досега,"къде изчезна и, защо – и досега е загадка. а бандата му се разпадна – кой накъдето му видят очите.",33.70201110839844
6,в ответ,в отговор,в отговор игор само въздъхна.,38.223846435546875
7,в сторону,встрани,валя побутна шефа встрани.,35.984615325927734
8,на себя,на себе си,"капитанът, обикновено спокоен, добродушен, сега сякаш не беше на себе си",34.375450134277344
9,по существу,по същество,"марк александрович забеляза недоволството на серго, беше огорчен, но знаеше, че серго не е отмъстителен, нито злопаметен, още повече че по същество марк александрович беше прав и не беше виновен.",34.81819152832031
10,всю жизнь,цял живот,татко цял живот само с фьодор михайлович се е занимавал.,35.71818161010742
11,в результате,в резултат,"парагвай, преди наричан „гигантската провинция на индия“, е роден през 16-ти век в резултат на срещата на испанските завоеватели с местните групи.",33.97704315185547
12,на свете,на света,"няма вече такива девойки на света, помисли си той.",34.718570709228516
13,разве что,освен да,освен да… – взе синята папка от масата. дръжте.,33.31922149658203
14,в том числе,в това число,"задържани са от вас наши кораби, в това число и „малака“, наета за рейс до япония.",39.069725036621094
15,как только,още щом,това стана ясно още щом минахме през портала.,33.10728073120117
16,а то и,че даже и,"салов съобщи на панафидин, че в района на шикотан мъглата се задържа понякога месец, че даже и повече…",34.65702438354492
17,после того как,след като,"след като информацията, оповестена от журналиста макис триантафилопулос в популярното му телевизионно предаване „zoungla“ по алфа тв, депутатът и адвокат, петрос мантувалос, се отказа от поста си.",29.55145263671875
18,чем больше,колкото повече,"колкото повече мислех по този въпрос, толкова повече се убеждавах, че познавам младежа.",35.17546463012695
19,хотя и,макар и,"тигърът, като добре закръглен атлет, може да се катери (макар и не добре), да плува, да прави огромни скокове и да дърпа със силата на петима здрави човека.",35.876075744628906
20,оттого что,от това че,"да не би да ми стане по-леко от това, че е машина.",40.082855224609375
21,да ведь,та нали,"та нали те нямаха нищо, освен него!",34.13010787963867
22,хотя бы,най-малкото,"и което беше най-лошото, да бъде съучастник или най-малкото свидетел на бандитското спиране на един от товарните влакове по този участък.",34.105743408203125
23,тем более,още повече,"още повече че карл не е роден в мадрид, нито изобщо в испания.",35.57804870605469
24,прежде чем,преди да,"това обаче е много трудна задача за решаване и ще са нужни много години, преди да видим изграждането на полезни реактори за синтез.",33.55373001098633
25,по слухам,според слухове,според слухове граничните ни земи с баязид били размирни и той не смеел да изтегли оттам най-добрата си войска.,34.48696517944336
26,таким образом,по такъв начин,по такъв начин този проблем с военните превози е решен.,33.6513557434082
27,во всяком случае,във всеки случай,във всеки случай сега съм сам и изоставен.,38.525394439697266
28,между прочим,между другото,и между другото въпросният „един час време отдавна беше минал.,34.858192443847656
29,можно сказать,може да се каже,"всичко това спомогна най-вече и за този неочакван случай, благодарение на който сега се променя, може да се каже, цялата ни съдба.",33.938575744628906
30,в сущности,в същност,"в същност тя не „заставаше, а някак витаеше наоколо му като една сянка, която неочаквано беше добила едно ново измерение, плътността.",37.34965133666992
31,как известно,както е известно,както е известно светът не е останал без добри хора.,34.962738037109375
32,по его мнению,по негово мнение,"сега той почна едно сепнато pizzicato, което по негово мнение изображаваше песента: „открадна-ла сей, бабината, сла-сланин-каа, сланинка, откраднала сей бабината сланинка“… която „сланинка “цяла е открадната от чешката „slaninka“.",32.01852035522461
33,одним словом,с една дума,"с една дума, всички бяха затънали в работа до гуша…",36.58298873901367
34,что называется,дето се вика,"дето се вика, останаха с пръст и устата!",34.17401885986328
35,судя по всему,съдейки по всичко,"момичето бързешком извади парите и ги хвърли в найлоновия плик, но съдейки по всичко, сумата бе смехотворна.",33.33885192871094
36,ради бога,за бога,"пишете, за бога, пишете, ще чакам!",32.436668395996094
37,все же,все пак,но все пак… моля ви да си спомните накъде хукна другият престъпник.,35.13700866699219
38,еще и,още и,тази операция е скъпа още и заради бащините чувства.,23.268550872802734
39,что ли,ли е,за кавказ ли е? равнодушно попита колка.,35.016876220703125
40,не то что,камо ли,"ами той, ако искаш да знаеш, дори мислите ни чува! камо ли разговорите…",36.874874114990234
41,едва ли не,едва ли не,"той имаше сбръчкано личице, редички бели косици и напрегнат и едва ли не страхлив поглед.",37.61494827270508
42,ничего подобного,нищо подобно,"от двайсет и пет години насам, професоре, кълна ви се, нищо подобно.",32.90383529663086
43,да ладно,добре де,"добре де, пошегувах се, имам само едно огледало и то се намира в антрето…",36.09912872314453
44,не иначе как,без друго,"— без друго тая мръсница — каза той — ще да е изпуснала писалката из ливадата — и заедно с коста отидоха нататък, наведени из ливадата.",34.6667594909668
45,почти что,почти като,"колкото за самата епидемия, той не се вълнуваше никак от нея и я считаше почти като сезонно явление, подобно на лятната диария по кърмачетата.",33.871620178222656
46,именно что,именно че,"това още преди две години и половина го знаех и две години и половина вече мисля за това именно, че «дунечка много неща може да понесе».",35.924095153808594
47,как бы не так,как ли пък не,дебнете ме? как ли пък не! знаех си аз!,36.82649230957031
48,всего-навсего,всичко на всичко,"почваше да й се струва, че това не е непознат, незнайно как попаднал в тяхното семейство летец, а нейният миша, че не тоя неочакван гост, а нейният мъж, с когото бе прекарала всичко на всичко една пролет.",28.848247528076172
49,несмотря на,въпреки че,"въпреки че вечерта бе топла, мириса потръпна и потърси ръката на брант.",35.1956901550293
50,в конце,в края на,първите истински телескопи в европа обаче са направени в края на 16-ти век.,35.15857696533203
51,рядом с,редом с,"затова, без да се колебая пито миг, ще направя „кръгом “на място в снега и ще тръгна редом с моята нова позната.",35.110252380371094
52,вплоть до,чак до,"считам, че можем да отстъпваме и по-нататък, чак до харбин.",32.29458999633789
53,в виде,във вид на,"то беше луксозно, от махагон и с бронзова дръжка във вид на сфинкс върху пиедестал.",33.279178619384766
54,со стороны,от страна на,поне от страна на булката.,34.99476623535156
55,по поводу,по повод на,а по повод на вашия татко приемете най-искрените ми.,38.547813415527344
56,в силу,по силата на,по силата на различни причини това е много неудобно.,33.900909423828125
57,недалеко от,недалече от,"пастирчето отишло с магарето за дърва, недалече от кошарите.",34.44794845581055
58,за счет,за сметка на,"или как другояче да ви разбираме – нека вълците да се размножават, да разкъсват нашите стада, да живеят за сметка на народната собственост?",34.99531555175781
59,по окончании,след свършването,това ще е полезно и за самия сарафин при преминаването му в следващото битие след свършването на земния му път.,33.74514389038086
60,с учетом,с оглед на,"трето, с оглед на обстановката уточнявам плана си за действие.",33.0538330078125
