audio_number,Expression RU,Expression L2,Sentence,Surprisal Data
1,не раз,ne jednou,konec konců tam skutečně byl a ne jednou.,33.27677917480469
2,все равно,úplně jedno,který konkrétně? to je přece úplně jedno.,33.18452835083008
3,только что,před okamžikem,"tam, kde jsem před okamžikem stál, zasvištělo ostří ostroplochého meče.",31.195133209228516
4,тут же,v tom okamžiku,"v tom okamžiku jsem pocítil, jak praská naše podlaha.",31.745668411254883
5,до сих пор,až dosud,"až dosud jsme se mohli shodnout na tom, že lepší než špatná politika je žádná politika a nulové vztahy.",31.549358367919922
6,в ответ,v odpověď,byla by uslyšela v odpověď jen další strofu písně.,31.654979705810547
7,в сторону,na stranu,lans ukázal na stranu.,33.15524673461914
8,на себя,na sebe,velké západní nadnárodní firmy a korporace na sebe vzaly politickou roli.,32.79349136352539
9,по существу,v jádru,v jádru byl stejný jako ona.,34.54909896850586
10,всю жизнь,celý život,"v barguzinském národním parku jsme se zase seznámili s paní irinou ivanovnou, která ochraně přírody zasvětila prakticky celý život.",32.670440673828125
11,в результате,v důsledku,artemidin chrám v efesu byl zničen 21. července 356 př.n.l. v důsledku žhářství spáchaného herostratem.,32.03323745727539
12,на свете,na světě,"neexistuje na světě hrdina, jenž by nebyl někomu ukraden, a není země, která by původně nebyla někoho jiného.",35.67002487182617
13,разве что,snad jen,kdo tohle ví? řekl nakladatel. snad jen vítr.,33.659603118896484
14,в том числе,z toho,"chlapec ukryl více než 600 poštovních dokumentů, z toho 429 novoročních přání,",29.672178268432617
15,как только,co nejrychleji,co nejrychleji přijdeme.,23.31613540649414
16,а то и,dokonce i,"ještě před půl stoletím bylo na takové dobývání třeba věnovat mnoho času (i týdny, dokonce i měsíce!).",30.38300323486328
17,после того как,potom co,"zaslechl vrzání pantů asi přes čtyři střechy nedlouho potom, co jeho přítel odešel.",30.84766960144043
18,чем больше,čím více,"čím více a rychleji se nato bude rozšiřovat, tím rychleji zmizí v archivu",32.9495849609375
19,хотя и,i když,"tygr dokáže šplhat (i když ne dobře), plavat, skákat na velké vzdálenosti.",30.175926208496094
