audio_number,Expression RU,Expression L2,Sentence,Surprisal Data
1,не раз,niejednokrotnie,"cesarz rzymski niejednokrotnie pokazał, że przyjacielem korony polskiej nie jest.",33.55936050415039
2,все равно,wszystko jedno,"zamieszanie potęgował fakt, że niektórzy zachowywali neutralność, to znaczy było im wszystko jedno, kogo napadają i grabią, napadali i grabili wszystkich.",33.89364242553711
3,только что,przed chwilą,"a reynevan zacytował przed chwilą autorytety, które trochę jakby przeczą temu, co zeznajesz.",32.141693115234375
4,тут же,a tu,a tu zdeponowane przez ottona beessa sto guldenów.,33.75239181518555
5,до сих пор,nadal,"tak, jak to robiła nadal.",36.37102508544922
6,в ответ,w odpowiedzi,"zwyczaj nakazywał w odpowiedzi na takie niedomówienie zrobić mądrą minę, westchnąć i znacząco pokiwać głową.",37.819862365722656
7,в сторону,w bok,"- nastraszyli mnie - powiedziała, patrząc w bok.",34.397220611572266
8,на себя,na siebie,"wiedząc o tym, niektórzy donosili więc sami na siebie.",34.42156219482422
9,по существу,w rzeczywistości,"rewolucja z chwilą upadku powstania warszawskiego w rzeczywistości już się dokonała, droga do niej była otwarta.",33.19553756713867
10,всю жизнь,całe życie,"reynevan tymczasem uciekał, a szło mu to tak, jak gdyby całe życie nie robił nic innego, tylko galopował w więzach.",33.950077056884766
11,в результате,w rezultacie czego,"kości zostają rzucone, w rezultacie czego wydarza się to, co jakoby - nieuniknione i nieuchronne.",36.02663803100586
12,на свете,na świecie,"rzecz w tym, że wszystko, absolutnie wszystko na świecie, ma trzy aury.",37.31967544555664
13,разве что,chyba że,chyba że książę niedomaga.,33.71286392211914
14,в том числе,w tym,"turystyka przyrodnicza przyciąga osoby lubiące spędzać czas na łonie natury, podziwiać krajobrazy, w tym dziką roślinność i zwierzęta.",32.119346618652344
15,как только,jak tylko,"jak tylko dolatywał mnie zapach spalonego węgla, od razu stawał mi przed oczyma początek mojej służby.",31.704866409301758
16,а то и,albo i,trądem nas zarazić gotów! albo i czym gorszym!,33.873207092285156
17,после того как,od momentu kiedy,"mniej więcej godzinę od momentu, kiedy zamilkły ostatnie strzały, wolf powiedział, że pojedzie na zwiad i pojechał sam.",30.471839904785156
18,чем больше,im większy,"a im większy sekret, tym większa nagroda.",34.17539596557617
19,хотя и,choć i,"mówię ci to, byś znał moje zamiary, choć i tak z pewnością domyśliłeś się ich po pytaniach, które stawiałem schillingowi.",34.91386032104492
20,оттого что,z tego że,"pomiędzy nią a resztą pracowników nastąpiła krótka przerwa w czasie, wynikła z tego, że wszyscy najpierw podążyli w kierunku źródła hałasu.",32.746795654296875
