audio_number,Expression RU,Expression L2,Sentence,Surprisal Data
1,не раз,не раз,"не раз я бачив, як вони, поранені стрілою, знаходячись далеко від хірургів, перев'язували себе, заліпивши рану жменею землі, змішаною на долоні з порцією власної слини.",36.7379264831543
2,все равно,все одно,"їх, хоч як тасуй, у цій засаленій колоді все одно жодної пристойної карти не витягнеш.",34.232398986816406
3,только что,тільки шо,"от тільки шо нікого не було, аж осьдечки й він, де не взявся.",35.72013854980469
4,тут же,тут же,"коли ж навідався до делятина, його хтось побачив і тут же здав.",35.60929489135742
5,до сих пор,до сих пір,"цивілізований світ до сих пір не знає не те що літератури української, а й взагалі такої країни, такого народу.",34.855621337890625
6,в ответ,у відповідь,"респондент у відповідь на це поцікавився, чи не з'являється іноді над його зеленими столами привид композитора вагнера.",35.1827278137207
7,в сторону,убік,"автомат полетів далеко убік, «корінь» в паніці кинувся в хащі.",35.30351638793945
8,на себя,на себе,"всі хочуть командувати, але ніхто не хоче звалити на себе відповідальність…",32.795257568359375
9,по существу,по сутi,"по сутi, партія більшовиків брала на озброєння есерівську аграрну програму.",33.15460205078125
10,всю жизнь,ціле життя,"у якихсь мемуарах раневської я прочитала, що вона ціле життя любила пушкіна.",36.27267074584961
11,в результате,в результаті,"у 16 столітті в результаті зіткнень іспанських завойовників з групами корінних народів був створений парагвай, який раніше називався гігантською провінцією індійців.",34.05488204956055
12,на свете,на світі,"перед сном вона обов'язково читала йому вголос, потім вони розмовляли про все на світі, поки останні слова не поринали в сон.",33.3787727355957
13,разве что,хіба що,"хіба що «варену» (цей давній напій українців називали ще варенухою, варьохою).",32.329681396484375
14,в том числе,в тому числі,"у результаті два види риб вимерли, а два інших виявилися під загрозою зникнення, в тому числі - горбатий головень.",34.98796081542969
15,как только,як тільки,"будьте певні, що як тільки ви дістанетесь марини, все буде достатньо очевидним. ви зустрінете інших човнових попутників і вони поділяться з вами своєю інформацією.",37.43051528930664
16,а то и,а то й,"виросте й стане ледацюгою, сутяжником, а то й бандюгою.",35.21757507324219
17,после того как,після того як,"після того як опір групи бухаріна було зламано, перегляду цього рішення ніщо не перешкоджало.",35.633113861083984
18,чем больше,чим більше,"хоча, чим більше часу проходить, тим очевидніше те, що багато хто добре розумів ще в наповнені космічною романтикою шістдесяті.",34.59187316894531
19,хотя и,хоча і,"тигр, як всебічно розвинутий атлет, може дертися вгору (хоча і не дуже вміло).",35.28520202636719
20,оттого что,від того що,"дімка прокинувся від того, що хтось його шарпав і кричав.",32.81626510620117
21,да ведь,але ж,"але ж і справді як добре!, - сказав він зненацька, ніби осяяний новою ідеєю.",36.275814056396484
22,хотя бы,хоча б,"злочин визнається вчиненим на території україни, якщо його виконавець або хоча б один із співучасників діяв на території україни.",35.215938568115234
23,тем более,тим більше,"цікаво послухати, а тим більше дати і свою «безцінну» пораду сзр.",33.67339324951172
24,прежде чем,перш ніж,"однак, цю проблему дуже важко вирішити, і пройде багато років, перш ніж ми станемо свідками будівництва придатних термоядерних реакторів.",36.14519500732422
25,по слухам,за чутками,"а те, що клуб, за чутками, кришує губернатор, теж особливого резонансу не викликало — нічого іншого від губернатора, в принципі, й не чекали.",32.16545867919922
26,таким образом,таким чином,"таким чином, не треба було виходити з палацика у ті святочні дні, коли муситься трапезувати під відкритим небом.",36.96445846557617
27,во всяком случае,в будь-якому випадку,"що ж, доживемо до понеділка, хоча і він не обіцяє нам спокою, в будь-якому випадку, в телевізійному просторі.",36.542484283447266
28,между прочим,між іншим,були сказані наче між іншим дві чи одна фраза.,32.66756057739258
29,можно сказать,можна сказати,"це, можна сказати, взірець ставлення до рідної мови.",34.26015853881836
30,в сущности,в істоті,"які ж вони всі, в істоті, були більшовики, які нелюди.",33.75692367553711
31,как известно,як відомо,"тургенєв, наприклад, в тих же 40-х роках дає свої «записки охотника», в яких, як відомо, ідеалізує селянина і підносить його крізь призму свого ліберально-поміщицького світогляду.",37.108699798583984
32,по его мнению,за його думкою,"безкрилий реалізм крабба не міг, за його думкою, передати усю повноту, всю чарівність і всю велич сільського життя.",34.395713806152344
33,одним словом,одним словом,"одним словом, творчий елемент, елемент саморозвитку, самобутності переважав.",38.68673324584961
34,что называется,що називається,"вона (як і сама оксана) безперервно курсує поміж києвом та нью-йорком, тусується, що називається, з американською літературною та інтелектуальною богемою.",38.900997161865234
35,судя по всему,судячи з усього,"судячи з усього, мвс дійсно дуже заважає комусь, хто прагне електорального тріумфу.",32.60042190551758
36,ради бога,ради бога,"— ваша королівська величносте! мовчіть! мовчіть, ради бога! — заблагав янкель.",37.25801086425781
37,все же,все ж,"і все ж безуспішність спроб реалізувати в масовому масштабі заходи щодо організаційно-господарського зміщення колгоспів, пояснювалася руйнівним впливом продрозкладки.",35.0006103515625
38,еще и,ще і,"засуджений винен ще і в іншому злочині, вчиненому ним до постановлення попереднього вироку.",36.987220764160156
